7;0;5
68;0;12;10903.710972701088
24;0;8;9457.895272563219
25;0;9;9457.895272563219
21;0;12;9457.895272563219
857;0;7;11543.885790400042
866;0;10;11543.885790400042
852;0;13;11543.885790400042
869;0;10;11543.885790400042
26;0;11;9457.895272563219
324;1;7;9006.654418072103
333;0;7;9006.654418072103
332;1;11;9006.654418072103
872;0;6;13104.101147553934
868;0;7;13104.101147553934
864;1;12;13104.101147553934
189;0;7;9974.323833552198
188;4;8;9974.323833552198
187;4;8;9974.323833552198
178;0;7;9974.323833552198
875;0;13;13104.101147553934
962;2;6;9825.48114865764
958;0;6;9825.48114865764
902;0;9;11529.159786434742
915;0;11;11529.159786434742
907;1;8;11529.159786434742
955;3;10;9825.48114865764
912;2;6;11529.159786434742
402;0;10;11098.425082394171
411;1;7;11098.425082394171
409;0;10;11098.425082394171
730;0;10;10052.706660265829
744;0;10;10052.706660265829
746;0;10;10052.706660265829
961;0;10;9825.48114865764
407;3;7;11098.425082394171
1360;0;4;10621.35811076095
1367;0;14;10621.35811076095
1372;0;11;10621.35811076095
1371;2;7;10621.35811076095
645;1;6;9269.735315624517
653;1;5;9269.735315624517
652;0;13;9269.735315624517
1002;0;10;12716.875474030592
1000;0;6;12716.875474030592
646;0;12;9269.735315624517
993;1;13;12716.875474030592
1173;1;7;12581.268795627244
1163;1;7;12581.268795627244
1170;0;9;12581.268795627244
1174;2;9;12581.268795627244
695;1;5;12442.192801899299
704;0;5;12442.192801899299
688;1;13;12442.192801899299
703;1;13;12442.192801899299
308;1;8;10631.23009245345
316;2;6;10631.23009245345
318;0;8;10631.23009245345
1201;0;10;9954.7394676905
311;5;6;10631.23009245345
578;2;5;14241.890803728422
581;1;8;14241.890803728422
580;2;9;14241.890803728422
586;2;6;14241.890803728422
1354;2;9;11211.694289920313
1351;0;6;11211.694289920313
1353;3;6;11211.694289920313
1342;1;9;11211.694289920313
169;1;7;9454.622850723546
159;1;9;9454.622850723546
165;5;5;9454.622850723546
168;5;7;9454.622850723546
330;1;11;9006.654418072103
1392;5;6;9981.410201593506
1391;0;7;9981.410201593506
1384;0;6;9981.410201593506
1390;6;7;9981.410201593506
739;0;10;10052.706660265829
1003;0;9;12716.875474030592
956;0;9;9479.055352781927
957;0;11;9479.055352781927
955;0;11;9479.055352781927
947;0;9;9479.055352781927
149;1;4;8666.684218267386
133;0;15;8666.684218267386
861;0;10;10175.842620041078
856;0;11;10175.842620041078
150;0;15;8666.684218267386
859;0;8;10175.842620041078
860;0;9;10175.842620041078
148;0;4;8666.684218267386
1344;0;11;9710.66660227822
1326;0;9;9710.66660227822
1345;0;9;9710.66660227822
1343;0;11;9710.66660227822
160;0;9;10974.35239977526
179;0;6;10974.35239977526
166;0;10;10974.35239977526
553;0;14;12634.30388028606
562;0;15;12634.30388028606
563;0;5;12634.30388028606
170;0;13;10974.35239977526
560;0;6;12634.30388028606
1335;0;10;10743.336385030469
1332;0;7;10743.336385030469
1333;0;13;10743.336385030469
1334;0;10;10743.336385030469
1281;0;10;10302.064431704603
1284;0;11;10302.064431704603
1285;0;9;10302.064431704603
1283;0;10;10302.064431704603
1299;1;12;10093.999277150426
1301;0;13;10093.999277150426
401;0;9;9111.06309609733
1300;0;6;10093.999277150426
411;0;9;9111.06309609733
1297;0;7;10093.999277150426
412;0;11;9111.06309609733
1132;0;10;10148.119406942476
1135;0;10;10148.119406942476
1137;0;9;10148.119406942476
1136;0;11;10148.119406942476
344;0;10;9485.924767087288
334;0;11;9485.924767087288
341;0;9;9485.924767087288
346;0;10;9485.924767087288
408;0;11;9111.06309609733
491;0;12;11003.913329909108
494;0;8;11003.913329909108
487;0;6;11003.913329909108
1391;0;12;9792.586178299744
1386;0;11;9792.586178299744
1388;0;9;9792.586178299744
1390;0;8;9792.586178299744
484;0;14;11003.913329909108
189;1;12;10989.101256811975
188;1;11;10989.101256811975
798;0;10;9974.74315018939
801;0;9;9974.74315018939
1160;0;8;7452.400447436371
182;0;8;10989.101256811975
802;0;11;9974.74315018939
393;0;8;8671.495830960444
1156;0;8;7452.400447436371
190;0;7;10989.101256811975
396;0;12;8671.495830960444
800;0;10;9974.74315018939
398;0;8;8671.495830960444
391;0;12;8671.495830960444
1158;0;12;7452.400447436371
1162;0;12;7452.400447436371
1099;0;9;10680.088661152273
863;2;5;7477.554568141584
1102;0;8;10680.088661152273
1096;1;10;10680.088661152273
871;0;5;7477.554568141584
868;1;10;7477.554568141584
1101;1;11;10680.088661152273
870;2;10;7477.554568141584
702;1;6;11036.63497898222
441;0;11;10380.155860285493
707;1;6;11036.63497898222
438;0;8;10380.155860285493
444;0;10;10380.155860285493
698;0;13;11036.63497898222
443;1;9;10380.155860285493
138;0;10;9697.508969768705
705;0;13;11036.63497898222
140;1;8;9697.508969768705
134;1;9;9697.508969768705
141;0;11;9697.508969768705
843;0;10;9973.765347522525
840;0;8;9973.765347522525
830;0;12;9973.765347522525
844;0;10;9973.765347522525
540;0;6;11425.351054369385
535;1;3;11425.351054369385
539;1;12;11425.351054369385
537;0;15;11425.351054369385
215;2;11;12666.066858459188
227;0;10;12666.066858459188
815;0;9;8711.90574944368
221;0;6;12666.066858459188
816;0;8;8711.90574944368
810;0;11;8711.90574944368
223;1;7;12666.066858459188
694;0;8;8347.845562603432
129;0;6;10119.56981205632
126;1;8;10119.56981205632
697;1;6;8347.845562603432
696;0;11;8347.845562603432
128;0;11;10119.56981205632
690;2;9;8347.845562603432
117;2;9;10119.56981205632
817;0;12;8711.90574944368
113;3;6;9578.669145715647
110;0;8;9578.669145715647
111;1;9;9578.669145715647
463;1;6;11760.602214436898
233;0;9;13275.904241071778
232;0;7;13275.904241071778
464;0;13;11760.602214436898
238;0;9;13275.904241071778
457;0;14;11760.602214436898
225;2;11;13275.904241071778
97;3;7;9578.669145715647
462;0;5;11760.602214436898
551;0;8;9163.890622672592
554;0;4;9163.890622672592
546;1;11;9163.890622672592
552;0;15;9163.890622672592
197;0;7;9211.133484420474
199;1;11;9211.133484420474
198;0;8;9211.133484420474
296;0;7;9076.911695978773
192;1;12;9211.133484420474
301;1;7;9076.911695978773
1398;0;11;9704.038788758879
1396;1;5;9704.038788758879
299;1;11;9076.911695978773
1397;2;6;9704.038788758879
1389;0;12;9704.038788758879
1241;0;7;11097.189803463132
1245;1;8;11097.189803463132
300;0;11;9076.911695978773
1246;1;9;11097.189803463132
511;0;8;10302.023955383747
1244;2;10;11097.189803463132
519;0;9;10302.023955383747
520;5;5;10302.023955383747
1374;1;10;10131.031209034703
1375;0;8;10131.031209034703
1376;0;7;10131.031209034703
518;5;6;10302.023955383747
1377;1;11;10131.031209034703
243;0;5;9061.45787013508
241;1;4;9061.45787013508
245;0;14;9061.45787013508
235;0;15;9061.45787013508
727;0;7;11989.595683853362
725;0;8;11989.595683853362
728;1;12;11989.595683853362
951;3;4;10110.512967469593
949;2;4;10110.512967469593
950;2;8;10110.512967469593
1026;2;7;11587.699884483382
1015;3;6;11587.699884483382
1025;1;8;11587.699884483382
1024;1;9;11587.699884483382
724;1;11;11989.595683853362
936;5;8;10110.512967469593
788;0;8;9818.618532663637
779;0;11;9818.618532663637
787;0;11;9818.618532663637
712;0;4;9958.461715350064
713;0;4;9958.461715350064
714;5;10;9958.461715350064
785;1;8;9818.618532663637
711;4;10;9958.461715350064
48;6;8;10511.155597363972
44;1;4;10511.155597363972
46;1;4;10511.155597363972
42;5;8;10511.155597363972
937;0;5;11503.006262043242
939;1;7;11503.006262043242
940;1;11;11503.006262043242
933;1;13;11503.006262043242
322;2;6;8794.735641331466
321;0;7;8794.735641331466
318;3;7;8794.735641331466
323;1;8;8794.735641331466
